"";"ring";"early troph";"late troph";"schizont";"early gam";"mature gam";"ookinete"
"PF3D7_0201900.1";39,045221;1,277383;5,739571;0;23,254044;4,582371;8,104852
"PF3D7_0202000.1";911,023858;48,81605;21,721553;2,507222;116,556514;34,475672;151,525451
"PF3D7_0202100.1";43,013705;79,313492;53,636052;32,462109;2,545811;4,289262;38,219258
"PF3D7_0202200.1";222,91848;38,396589;21,275336;2,206848;1,394731;1,437358;10,612842
"PF3D7_0202300.1";20,414622;55,166231;2,388619;9,455749;2,477077;0,697272;0
"PF3D7_0202400.1";47,499549;178,185267;61,550174;34,140443;17,728735;6,491915;22,631273
"PF3D7_0202500.1";3886,635572;2009,387132;2703,096432;1236,691805;561,308834;52,597971;736,489549
"PF3D7_0202600.1.1";12,572524;17,628415;21,104771;19,511633;3,623024;27,927351;23,170806
"PF3D7_0202600.2.1";8,0389;17,941174;20,314849;19,350342;3,707591;28,452073;23,313405
"PF3D7_0202700.1";4,921109;8,628864;42,021941;39,191667;18,119982;63,331947;6,623832
"PF3D7_0202800.1";6,745057;0;58,026293;24,675656;81,329408;427,528831;0
"PF3D7_0202900.1";3,819469;1,648847;51,505952;32,505905;33,881671;151,540284;25,44477
"PF3D7_0203000.1";11,337346;4,978963;78,963967;218,065685;17,487008;30,859129;53,805613
"PF3D7_0203100.1";9,432253;6,165995;16,403613;77,480354;8,546442;55,084291;55,29885
"PF3D7_0203200.1";21,677823;24,583433;18,76746;27,760843;11,167585;105,988253;46,489707
"PF3D7_0203300.1";4,668674;4,548207;29,647563;18,246249;56,063701;412,863817;101,55553
"PF3D7_0203400.1";9,194648;2,805204;556,705509;92,130079;6715,189048;1960,653848;132,929764
"PF3D7_0203600.1";9,714961;3,924388;32,070991;55,530301;9,803667;18,264374;5,022644
"PF3D7_0203700.1";187,554461;221,143222;88,774967;11,605004;51,54722;47,166499;37,31947
"PF3D7_0203800.1";2,092052;1,666421;23,923202;4,071869;22,029844;556,375208;1003,977175
"PF3D7_0203900.1";4,918007;40,342715;101,414524;52,975176;13,600311;17,13448;22,813291
"PF3D7_0204000.1";2,967654;6,451013;20,365522;9,032905;3,818004;26,000565;18,690344
"PF3D7_0204100.1";7,342626;14,563008;207,76945;1108,401088;41,997434;76,653718;57,468517
"PF3D7_0204200.1";102,829715;265,479217;253,803267;212,512899;321,522165;1119,574365;380,727241
"PF3D7_0204300.1";51,861892;48,328342;29,329911;11,17434;3,014624;11,586126;73,143123
"PF3D7_0204400.1";78,29571;65,159706;46,474592;0;2,959067;7,346336;33,169378
"PF3D7_0204500.1";31,146664;36,208686;35,671672;15,794173;3,288144;1,059909;14,887133
"PF3D7_0204600.1";12,113877;35,052394;23,091978;31,903395;4,816148;15,656151;10,017735
"PF3D7_0204700.1";61,576047;215,017385;215,616187;311,761212;316,196082;88,419275;69,858344
"PF3D7_0204800.1";2,683421;8,630014;37,690451;15,091411;84,310122;221,914572;14,713621
"PF3D7_0204900.1";6,342702;14,02834;62,929446;29,898543;120,593624;127,988376;6,885996
"PF3D7_0205000.1";13,274786;1,500304;11,992929;7,885272;44,698528;200,61791;49,066627
"PF3D7_0205100.1";4,793264;1,090261;3,352025;1,397463;7,428361;59,089897;25,05738
"PF3D7_0205200.1";6,002142;1,066214;9,715051;0;18,371513;78,062988;26,979628
"PF3D7_0205300.1";4,156726;2,212198;4,879188;3,71339;20,538531;29,63486;15,464646
"PF3D7_0205400.1";53,996378;44,573742;46,803476;18,818064;52,713849;67,028371;15,005645
"PF3D7_0205500.1";92,487527;80,418427;142,766099;45,035255;525,647743;470,859627;27,067862
"PF3D7_0205600.1";8,216631;31,930219;90,031944;90,150162;39,917749;18,115833;48,270976
"PF3D7_0205700.1.1";31,544924;51,979011;47,221312;13,443695;146,225736;616,82834;20,223513
"PF3D7_0205700.2.1";18,287627;9,48418;1,339392;12,816832;39,929764;82,033357;15,591613
"PF3D7_0205800.1";57,008814;50,686281;219,435816;437,69221;553,526799;1055,265805;80,077294
"PF3D7_0205900.1";51,431982;225,46573;659,597493;1592,836715;340,178824;115,786607;143,657687
"PF3D7_0206000.1";22,19386;36,217404;33,941965;60,754172;8,027437;23,280683;177,022486
"PF3D7_0206100.1";40,214015;96,492309;72,021357;30,517475;71,729988;63,438488;92,27474
"PF3D7_0206200.1";10,428329;7,361711;67,083733;130,432772;15,794918;62,612235;169,230599
"PF3D7_0206300.1";24,30186;47,500925;24,325088;7,140384;10,975406;19,42073;17,97622
"PF3D7_0206500.1";62,001248;122,918878;66,971072;35,047896;10,669168;45,854278;71,26332
"PF3D7_0206600.1";78,560441;111,433636;41,356197;0;117,745491;121,06443;0
"PF3D7_0206700.1";85,792722;152,426741;106,843303;104,604692;48,350456;23,861029;4,696523
"PF3D7_0206800.1";105,068399;103,183645;2399,311144;1,107981;344,026553;83,93797;263,408868
"PF3D7_0206900.1.1";3,78787;15,795212;81,373074;93,861678;6,043126;4,296947;42,720653
"PF3D7_0206900.2.1";0,064259;3,394412;3,431399;6,049678;5,975607;1,16942;42,010442
"PF3D7_0207000.1";10,858457;5,876315;820,492548;2731,824654;534,010092;208,436055;154,557158
"PF3D7_0207100.1";5,982016;11,244626;68,461188;149,885168;24,892399;44,037056;324,195677
"PF3D7_0207200.1";6,99744;3,66621;12,860803;39,189625;47,971816;216,7102;55,139055
"PF3D7_0207300.1";2,917231;1,049497;2,395185;5,207204;1,693765;2,201251;10,714493
"PF3D7_0207400.1";4,128234;2,239925;326,241935;181,278434;19,747177;1,440967;20,924644
"PF3D7_0207500.1";8,721185;3,385152;658,554022;973,488871;23,289745;2,007803;26,979431
"PF3D7_0207600.1";41,782863;18,2482;4262,848397;132,700688;356,827498;23,443998;253,969661
"PF3D7_0207700.1";7,588228;2,94971;728,400526;1416,908366;105,917009;2,755782;9,002303
"PF3D7_0207800.1";5,097419;1,731212;147,078205;310,882251;10,01335;0,906955;15,896568
"PF3D7_0207900.1";2,516684;1,077145;117,901404;40,438064;7,80251;1,119154;0,772887
"PF3D7_0208000.1";4,921829;0,796328;69,524947;279,888012;17,499222;10,670011;33,113388
"PF3D7_0208100.1.1";2,316742;3,767578;51,352816;46,784315;14,510351;24,758699;0
